ダウンロードした時刻：2024/07/10 15:58:43

,那覇,那覇,那覇
2001/7/21,晴、雷を伴う,8,1
2001/7/22,晴一時雨,8,1
2001/7/23,晴一時雨,8,1
2001/7/24,晴時々曇,8,1
2001/7/25,晴一時曇,8,1
2001/7/26,晴一時雨、雷を伴う,8,1
2001/7/27,晴後曇一時雨、雷を伴う,8,1
2001/7/28,晴時々曇,8,1
2001/7/29,曇時々晴一時雨、雷を伴う,8,1
2001/7/30,晴,8,1
2001/7/31,薄曇時々晴,8,1
2001/8/1,晴時々曇,8,1
2001/8/2,晴一時雨,8,1
2001/8/3,曇時々雨、雷を伴う,8,1
2001/8/4,晴,8,1
2001/8/5,晴,8,1
2001/8/6,晴一時曇、雷を伴う,8,1
2001/8/7,晴一時雨,8,1
2001/8/8,晴,8,1
2001/8/9,晴,8,1
2001/8/10,晴時々雨、雷を伴う,8,1
2001/8/11,晴後一時大雨、雷を伴う,8,1
2001/8/12,晴,8,1
2001/8/13,晴後大雨、雷を伴う,8,1
2001/8/14,晴一時雨、雷を伴う,8,1
2001/8/15,晴時々曇一時雨,8,1
2001/8/16,晴一時雨,8,1
2001/8/17,晴一時雨,8,1
2001/8/18,晴時々雨一時曇,8,1
2001/8/19,晴,8,1
2001/8/20,晴時々曇,8,1
2001/8/21,晴,8,1
2001/8/22,晴,8,1
2001/8/23,晴,8,1
2001/8/24,晴後曇一時雨,8,1
2001/8/25,晴一時曇,8,1
2001/8/26,晴時々曇,8,1
2001/8/27,晴後曇,8,1
2001/8/28,曇時々晴,8,1
2001/8/29,晴,8,1
2001/8/30,晴,8,1
2001/8/31,曇時々晴,8,1
2001/9/1,雨時々曇、雷を伴う,8,1
2001/9/2,曇時々晴一時雨,8,1
2001/9/3,晴,8,1
2001/9/4,晴一時雨,8,1
2001/9/5,晴時々曇一時雨,8,1
2001/9/6,曇一時雨,8,1
2001/9/7,暴風雨,8,1
2001/9/8,暴風雨後曇、雷を伴う,8,1
2001/9/9,薄曇一時晴,8,1
2001/9/10,晴時々曇一時雨,8,1
2001/9/11,雨一時曇、大風を伴う,8,1
2001/9/12,暴風雨,8,1
2001/9/13,雨後曇,8,1
2001/9/14,薄曇一時晴,8,1
2001/9/15,晴,8,1
2001/9/16,曇時々晴一時雨,8,1
2001/9/17,曇時々晴,8,1
2001/9/18,晴一時雨,8,1
2001/9/19,晴一時曇,8,1
2001/9/20,晴時々雨,8,1
2001/9/21,晴時々曇一時雨,8,1
2001/9/22,晴時々雨,8,1
2001/9/23,大雨、雷を伴う,8,1
2001/9/24,雨時々曇,8,1
2001/9/25,大雨時々曇,8,1
2001/9/26,曇時々雨,8,1
2001/9/27,雨時々曇,8,1
2001/9/28,曇時々雨,8,1
2001/9/29,晴後曇時々雨,8,1
2001/9/30,薄曇,8,1
2001/10/1,曇時々晴一時雨,8,1
2001/10/2,晴,8,1
2001/10/3,晴,8,1
2001/10/4,晴一時曇,8,1
2001/10/5,晴,8,1
2001/10/6,晴,8,1
2001/10/7,晴後一時雨,8,1
2001/10/8,快晴,8,1
2001/10/9,晴後一時曇,8,1
2001/10/10,晴時々曇,8,1
2001/10/11,晴,8,1
2001/10/12,晴,8,1
2001/10/13,晴,8,1
2001/10/14,曇時々晴一時雨,8,1
2001/10/15,雨後曇,8,1
2001/10/16,曇後雨,8,1
2001/10/17,雨時々曇、大風を伴う,8,1
2001/10/18,晴,8,1
2001/10/19,晴,8,1
2001/10/20,晴時々雨一時曇,8,1
2001/10/21,雨時々曇,8,1
2001/10/22,晴時々雨一時曇,8,1
2001/10/23,曇後晴,8,1
2001/10/24,晴時々曇,8,1
2001/10/25,晴一時雨,8,1
2001/10/26,晴,8,1
2001/10/27,晴,8,1
2001/10/28,晴一時曇,8,1
2001/10/29,曇時々晴,8,1
2001/10/30,曇後時々雨,8,1
2001/10/31,曇時々雨,8,1
2001/11/1,曇時々晴,8,1
2001/11/2,晴,8,1
2001/11/3,晴時々曇一時雨,8,1
2001/11/4,晴一時曇,8,1
2001/11/5,晴時々曇一時雨,8,1
2001/11/6,晴一時雨,8,1
2001/11/7,晴時々曇,8,1
2001/11/8,晴時々曇,8,1
2001/11/9,晴,8,1
2001/11/10,晴,8,1
2001/11/11,晴一時雨,8,1
2001/11/12,晴,8,1
2001/11/13,晴,8,1
2001/11/14,曇時々晴一時雨,8,1
2001/11/15,曇一時晴,8,1
2001/11/16,曇後雨,8,1
2001/11/17,曇後晴,8,1
2001/11/18,晴,8,1
2001/11/19,晴,8,1
2001/11/20,晴一時雨,8,1
2001/11/21,晴時々雨,8,1
2001/11/22,晴後曇,8,1
2001/11/23,晴一時曇,8,1
2001/11/24,晴一時雨,8,1
2001/11/25,晴,8,1
2001/11/26,晴,8,1
2001/11/27,曇後晴,8,1
2001/11/28,晴,8,1
2001/11/29,晴,8,1
2001/11/30,晴時々雨一時曇,8,1
2001/12/1,晴一時曇,8,1
2001/12/2,晴一時曇,8,1
2001/12/3,晴,8,1
2001/12/4,雨時々曇,8,1
2001/12/5,晴時々曇,8,1
2001/12/6,曇時々雨,8,1
2001/12/7,曇時々晴,8,1
2001/12/8,曇時々晴,8,1
2001/12/9,曇後晴,8,1
2001/12/10,晴後一時曇,8,1
2001/12/11,曇一時雨,8,1
2001/12/12,曇時々雨,8,1
2001/12/13,雨,8,1
2001/12/14,曇時々雨,8,1
2001/12/15,曇時々晴,8,1
2001/12/16,晴,8,1
2001/12/17,晴一時曇,8,1
2001/12/18,大雨時々曇,8,1
2001/12/19,曇時々雨,8,1
2001/12/20,晴,8,1
2001/12/21,雨一時曇,8,1
2001/12/22,曇時々晴一時雨,8,1
2001/12/23,晴,8,1
2001/12/24,晴,8,1
2001/12/25,曇一時晴,8,1
2001/12/26,晴時々曇一時雨,8,1
2001/12/27,晴時々雨一時曇,8,1
2001/12/28,曇時々晴,8,1
2001/12/29,曇後晴,8,1
2001/12/30,晴一時曇,8,1
2001/12/31,晴時々曇,8,1
2002/1/1,曇時々晴一時雨,8,1
2002/1/2,晴一時雨,8,1
2002/1/3,晴時々曇,8,1
2002/1/4,晴,8,1
2002/1/5,快晴,8,1
2002/1/6,快晴,8,1
2002/1/7,晴時々雨,8,1
2002/1/8,晴,8,1
2002/1/9,晴時々曇,8,1
2002/1/10,晴,8,1
2002/1/11,晴一時曇,8,1
2002/1/12,快晴,8,1
2002/1/13,晴,8,1
2002/1/14,曇時々雨一時晴,8,1
2002/1/15,曇時々雨,8,1
2002/1/16,曇時々雨,8,1
2002/1/17,曇,8,1
2002/1/18,曇時々雨,8,1
2002/1/19,曇時々雨,8,1
2002/1/20,曇時々晴,8,1
2002/1/21,雨時々曇,8,1
2002/1/22,晴一時曇,8,1
2002/1/23,晴,8,1
2002/1/24,晴,8,1
2002/1/25,曇時々雨,8,1
2002/1/26,雨後曇,8,1
2002/1/27,曇,8,1
2002/1/28,雨時々曇,8,1
2002/1/29,曇後晴,8,1
2002/1/30,晴,8,1
2002/1/31,曇時々晴,8,1
2002/2/1,曇後時々雨,8,1
2002/2/2,雨時々曇,8,1
2002/2/3,晴,8,1
2002/2/4,晴,8,1
2002/2/5,曇時々雨,8,1
2002/2/6,晴,8,1
2002/2/7,曇時々雨一時晴,8,1
2002/2/8,曇時々雨一時晴,8,1
2002/2/9,曇後晴,8,1
2002/2/10,曇時々雨,8,1
2002/2/11,晴時々曇,8,1
2002/2/12,晴時々曇,8,1
2002/2/13,晴,8,1
2002/2/14,晴,8,1
2002/2/15,曇,8,1
2002/2/16,晴一時曇,8,1
2002/2/17,曇時々晴,8,1
2002/2/18,晴,8,1
2002/2/19,晴後時々曇一時雨,8,1
2002/2/20,晴,8,1
2002/2/21,曇後時々晴,8,1
2002/2/22,曇後晴,8,1
2002/2/23,晴,8,1
2002/2/24,曇時々雨一時晴,8,1
2002/2/25,晴,8,1
2002/2/26,晴,8,1
2002/2/27,晴,8,1
2002/2/28,晴,8,1
2002/3/1,晴,8,1
2002/3/2,晴,8,1
2002/3/3,曇時々晴一時雨,8,1
2002/3/4,晴,8,1
2002/3/5,晴,8,1
2002/3/6,曇時々雨一時晴,8,1
2002/3/7,晴,8,1
2002/3/8,晴,8,1
2002/3/9,晴,8,1
2002/3/10,晴,8,1
2002/3/11,快晴,8,1
2002/3/12,晴,8,1
2002/3/13,晴,8,1
2002/3/14,雨時々曇,8,1
2002/3/15,曇一時雨,8,1
2002/3/16,雨時々曇,8,1
2002/3/17,晴,8,1
2002/3/18,曇時々晴一時雨,8,1
2002/3/19,快晴,8,1
2002/3/20,晴一時曇,8,1
2002/3/21,曇時々雨,8,1
2002/3/22,晴時々曇,8,1
2002/3/23,曇一時雨,8,1
2002/3/24,雨時々曇,8,1
2002/3/25,雨時々曇,8,1
2002/3/26,晴一時曇,8,1
2002/3/27,晴時々曇一時雨,8,1
2002/3/28,曇後一時晴,8,1
2002/3/29,曇時々雨,8,1
2002/3/30,晴時々曇一時雨,8,1
2002/3/31,晴,8,1
2002/4/1,晴一時曇,8,1
2002/4/2,晴一時曇,8,1
2002/4/3,晴時々大雨、雷を伴う,8,1
2002/4/4,晴,8,1
2002/4/5,晴,8,1
2002/4/6,晴,8,1
2002/4/7,曇後雨,8,1
2002/4/8,雨後曇、雷を伴う,8,1
2002/4/9,曇時々雨,8,1
2002/4/10,曇後雨,8,1
2002/4/11,曇時々雨,8,1
2002/4/12,曇時々雨一時晴,8,1
2002/4/13,晴,8,1
2002/4/14,晴一時薄曇,8,1
2002/4/15,曇時々晴,8,1
2002/4/16,曇,8,1
2002/4/17,曇一時雨,8,1
2002/4/18,曇,8,1
2002/4/19,曇一時晴,8,1
2002/4/20,晴一時曇,8,1
2002/4/21,晴,8,1
2002/4/22,晴,8,1
2002/4/23,晴,8,1
2002/4/24,晴後曇一時雨,8,1
2002/4/25,曇,8,1
2002/4/26,曇,8,1
2002/4/27,曇一時晴,8,1
2002/4/28,晴時々曇一時雨,8,1
2002/4/29,曇一時雨,8,1
2002/4/30,晴後時々曇,8,1
2002/5/1,晴,8,1
2002/5/2,晴後曇時々雨,8,1
2002/5/3,晴,8,1
2002/5/4,晴,8,1
2002/5/5,晴,8,1
2002/5/6,晴時々曇,8,1
2002/5/7,晴後一時曇,8,1
2002/5/8,晴一時曇,8,1
2002/5/9,晴後時々曇,8,1
2002/5/10,晴一時曇,8,1
2002/5/11,曇一時雨,8,1
2002/5/12,曇時々雨一時晴,8,1
2002/5/13,曇時々雨,8,1
2002/5/14,晴時々曇,8,1
2002/5/15,晴一時薄曇,8,1
2002/5/16,曇時々雨、雷を伴う,8,1
2002/5/17,曇時々雨一時晴,8,1
2002/5/18,晴一時曇,8,1
2002/5/19,晴一時曇,8,1
2002/5/20,晴時々曇,8,1
2002/5/21,曇時々雨,8,1
2002/5/22,雨,8,1
2002/5/23,曇時々雨,8,1
2002/5/24,晴,8,1
2002/5/25,快晴,8,1
2002/5/26,晴,8,1
2002/5/27,晴,8,1
2002/5/28,晴,8,1
2002/5/29,晴,8,1
2002/5/30,曇一時雨,8,1
2002/5/31,曇時々雨,8,1
2002/6/1,曇,8,1
2002/6/2,曇時々晴,8,1
2002/6/3,曇,8,1
2002/6/4,曇時々雨,8,1
2002/6/5,曇時々雨,8,1
2002/6/6,晴時々曇,8,1
2002/6/7,雨時々曇,8,1
2002/6/8,曇,8,1
2002/6/9,曇,8,1
2002/6/10,曇時々雨,8,1
2002/6/11,曇,8,1
2002/6/12,曇一時雨,8,1
2002/6/13,曇時々雨、雷を伴う,8,1
2002/6/14,曇時々雨,8,1
2002/6/15,大雨、雷を伴う,8,1
2002/6/16,曇一時雨,8,1
2002/6/17,曇後時々雨,8,1
2002/6/18,曇,8,1
2002/6/19,曇時々晴,8,1
2002/6/20,曇一時晴,8,1
2002/6/21,晴時々曇,8,1
2002/6/22,曇,8,1
2002/6/23,晴,8,1
2002/6/24,晴時々曇,8,1
2002/6/25,曇時々晴,8,1
2002/6/26,曇時々晴一時雨,8,1
2002/6/27,曇一時雨後晴,8,1
2002/6/28,曇,8,1
2002/6/29,晴一時薄曇,8,1
2002/6/30,晴,8,1
2002/7/1,晴後一時曇,8,1
2002/7/2,曇時々雨,8,1
2002/7/3,暴風雨,8,1
2002/7/4,雨、大風を伴う,8,1
2002/7/5,曇,8,1
2002/7/6,晴時々曇,8,1
2002/7/7,晴,8,1
2002/7/8,曇一時雨,8,1
2002/7/9,晴一時雨,8,1
2002/7/10,曇時々雨一時晴,8,1
2002/7/11,曇一時雨,8,1
2002/7/12,曇時々雨,8,1
2002/7/13,曇後晴,8,1
2002/7/14,雨一時晴、大風を伴う,8,1
2002/7/15,曇一時雨,8,1
2002/7/16,曇時々晴,8,1
2002/7/17,曇一時雨,8,1
2002/7/18,曇,8,1
2002/7/19,晴,8,1
2002/7/20,晴,8,1
2002/7/21,晴,8,1
2002/7/22,晴,8,1
2002/7/23,晴,8,1
2002/7/24,晴後一時雨,8,1
2002/7/25,曇時々晴,8,1
2002/7/26,晴時々薄曇,8,1
2002/7/27,晴一時薄曇,8,1
2002/7/28,晴,8,1
2002/7/29,晴後一時雨,8,1
2002/7/30,曇時々雨一時晴,8,1
2002/7/31,曇時々雨,8,1
2002/8/1,曇時々雨一時晴,8,1
2002/8/2,曇時々雨一時晴,8,1
2002/8/3,晴後時々雨,8,1
2002/8/4,晴時々曇,8,1
2002/8/5,曇時々晴,8,1
2002/8/6,曇一時雨,8,1
2002/8/7,曇後一時雨,8,1
2002/8/8,雨時々曇一時晴,8,1
2002/8/9,曇後一時雨,8,1
2002/8/10,曇,8,1
2002/8/11,晴,8,1
2002/8/12,晴一時雨,8,1
2002/8/13,晴,8,1
2002/8/14,晴一時雨,8,1
2002/8/15,晴一時雨,8,1
2002/8/16,晴後薄曇,8,1
2002/8/17,晴時々雨,8,1
2002/8/18,晴,8,1
2002/8/19,晴,8,1
2002/8/20,晴一時薄曇,8,1
2002/8/21,晴,8,1
2002/8/22,晴,8,1
2002/8/23,晴,8,1
2002/8/24,晴,8,1
2002/8/25,晴,8,1
2002/8/26,晴,8,1
2002/8/27,晴,8,1
2002/8/28,晴,8,1
2002/8/29,雨時々曇、大風を伴う,8,1
2002/8/30,曇時々雨,8,1
2002/8/31,曇後晴,8,1
2002/9/1,曇一時雨、雷を伴う,8,1
2002/9/2,晴時々大雨,8,1
2002/9/3,晴,8,1
2002/9/4,雨時々曇、大風を伴う,8,1
2002/9/5,暴風雨,8,1
2002/9/6,暴風雨、雷を伴う,8,1
2002/9/7,曇一時雨,8,1
2002/9/8,曇時々晴,8,1
2002/9/9,晴後一時曇,8,1
2002/9/10,晴,8,1
2002/9/11,晴,8,1
2002/9/12,晴,8,1
2002/9/13,晴,8,1
2002/9/14,晴,8,1
2002/9/15,晴,8,1
2002/9/16,晴,8,1
2002/9/17,晴,8,1
2002/9/18,晴,8,1
2002/9/19,晴後時々雨,8,1
2002/9/20,晴後雨,8,1
2002/9/21,晴,8,1
2002/9/22,晴,8,1
2002/9/23,晴一時雨,8,1
2002/9/24,晴後薄曇,8,1
2002/9/25,晴時々曇,8,1
2002/9/26,曇一時雨,8,1
2002/9/27,晴,8,1
2002/9/28,晴,8,1
2002/9/29,晴後曇一時雨,8,1
2002/9/30,曇後晴,8,1
2002/10/1,晴,8,1
2002/10/2,晴後曇,8,1
2002/10/3,曇一時晴,8,1
2002/10/4,晴,8,1
2002/10/5,晴,8,1
2002/10/6,晴後曇一時雨,8,1
2002/10/7,曇一時雨,8,1
2002/10/8,雨,8,1
2002/10/9,雨一時曇,8,1
2002/10/10,曇時々雨,8,1
2002/10/11,晴,8,1
2002/10/12,晴,8,1
2002/10/13,晴,8,1
2002/10/14,晴後曇時々雨,8,1
2002/10/15,晴一時雨,8,1
2002/10/16,晴一時雨,8,1
2002/10/17,晴一時曇,8,1
2002/10/18,晴後曇一時雨,8,1
2002/10/19,曇時々雨、雷を伴う,8,1
2002/10/20,晴,8,1
2002/10/21,曇時々雨,8,1
2002/10/22,晴一時曇,8,1
2002/10/23,曇後雨,8,1
2002/10/24,大雨,8,1
2002/10/25,曇時々雨一時晴,8,1
2002/10/26,晴,8,1
2002/10/27,晴,8,1
2002/10/28,晴一時曇,8,1
2002/10/29,曇時々晴,8,1
2002/10/30,雨後曇,8,1
2002/10/31,曇時々雨,8,1
2002/11/1,晴時々雨,8,1
2002/11/2,曇一時雨,8,1
2002/11/3,晴,8,1
2002/11/4,曇時々晴一時雨,8,1
2002/11/5,晴,8,1
2002/11/6,晴,8,1
2002/11/7,晴一時曇,8,1
2002/11/8,晴,8,1
2002/11/9,晴時々曇,8,1
2002/11/10,晴,8,1
2002/11/11,晴,8,1
2002/11/12,曇一時雨,8,1
2002/11/13,曇,8,1
2002/11/14,曇時々晴,8,1
2002/11/15,曇一時雨,8,1
2002/11/16,曇一時雨,8,1
2002/11/17,曇,8,1
2002/11/18,晴一時曇,8,1
2002/11/19,曇時々雨,8,1
2002/11/20,曇一時雨,8,1
2002/11/21,曇一時雨,8,1
2002/11/22,曇時々雨,8,1
2002/11/23,晴後曇,8,1
2002/11/24,曇時々雨,8,1
2002/11/25,晴後曇一時雨,8,1
2002/11/26,晴,8,1
2002/11/27,曇時々晴一時雨,8,1
2002/11/28,晴後曇,8,1
2002/11/29,曇一時晴,8,1
2002/11/30,曇時々雨一時晴,8,1
2002/12/1,晴,8,1
2002/12/2,晴,8,1
2002/12/3,晴,8,1
2002/12/4,晴時々曇一時雨,8,1
2002/12/5,曇時々晴一時雨,8,1
2002/12/6,晴,8,1
2002/12/7,晴一時雨,8,1
2002/12/8,曇時々雨,8,1
2002/12/9,曇時々雨,8,1
2002/12/10,曇時々雨一時晴,8,1
2002/12/11,晴時々曇,8,1
2002/12/12,雨時々曇,8,1
2002/12/13,晴時々曇,8,1
2002/12/14,曇時々晴,8,1
2002/12/15,曇一時晴,8,1
2002/12/16,晴時々曇,8,1
2002/12/17,晴,8,1
2002/12/18,晴後曇,8,1
2002/12/19,雨時々曇、雷を伴う,8,1
2002/12/20,雨後曇,8,1
2002/12/21,雨時々曇,8,1
2002/12/22,晴,8,1
2002/12/23,曇時々晴,8,1
2002/12/24,曇時々雨,8,1
2002/12/25,曇時々雨,8,1
2002/12/26,曇一時雨,8,1
2002/12/27,雨,8,1
2002/12/28,曇時々雨,8,1
2002/12/29,曇後晴,8,1
2002/12/30,曇時々雨,8,1
2002/12/31,雨時々曇,8,1
2003/1/1,晴,8,1
2003/1/2,晴,8,1
2003/1/3,曇後雨,8,1
2003/1/4,晴時々曇,8,1
2003/1/5,雨時々曇,8,1
2003/1/6,曇後晴,8,1
2003/1/7,雨,8,1
2003/1/8,曇一時雨後晴,8,1
2003/1/9,晴,8,1
2003/1/10,雨時々曇,8,1
2003/1/11,晴一時曇,8,1
2003/1/12,晴,8,1
2003/1/13,晴後一時曇,8,1
2003/1/14,晴,8,1
2003/1/15,晴時々曇,8,1
2003/1/16,晴,8,1
2003/1/17,晴,8,1
2003/1/18,曇後晴,8,1
2003/1/19,曇時々雨一時晴,8,1
2003/1/20,曇時々晴,8,1
2003/1/21,曇時々晴,8,1
2003/1/22,晴後曇,8,1
2003/1/23,曇時々晴一時雨,8,1
2003/1/24,曇時々晴,8,1
2003/1/25,曇時々晴,8,1
2003/1/26,晴,8,1
2003/1/27,雨時々曇,8,1
2003/1/28,曇一時雨,8,1
2003/1/29,曇一時雨,8,1
2003/1/30,曇後晴,8,1
2003/1/31,晴,8,1
2003/2/1,曇時々晴一時雨,8,1
2003/2/2,曇後晴,8,1
2003/2/3,晴,8,1
2003/2/4,曇時々雨一時晴,8,1
2003/2/5,曇一時晴,8,1
2003/2/6,晴時々曇,8,1
2003/2/7,曇時々晴,8,1
2003/2/8,曇一時雨,8,1
2003/2/9,曇時々晴一時雨,8,1
2003/2/10,曇一時雨,8,1
2003/2/11,晴,8,1
2003/2/12,曇一時雨,8,1
2003/2/13,曇一時雨後晴,8,1
2003/2/14,晴時々曇,8,1
2003/2/15,曇時々雨,8,1
2003/2/16,曇時々雨,8,1
2003/2/17,晴一時曇,8,1
2003/2/18,晴一時曇,8,1
2003/2/19,曇後時々雨,8,1
2003/2/20,晴,8,1
2003/2/21,晴,8,1
2003/2/22,晴一時曇,8,1
2003/2/23,晴後曇,8,1
2003/2/24,曇一時雨,8,1
2003/2/25,晴時々曇,8,1
2003/2/26,晴,8,1
2003/2/27,曇一時雨,8,1
2003/2/28,晴,8,1
2003/3/1,晴後曇時々雨,8,1
2003/3/2,晴,8,1
2003/3/3,晴後曇一時雨,8,1
2003/3/4,雨時々曇,8,1
2003/3/5,曇後雨,8,1
2003/3/6,雨時々曇,8,1
2003/3/7,雨時々曇,8,1
2003/3/8,曇一時雨,8,1
2003/3/9,曇時々晴,8,1
2003/3/10,曇時々雨,8,1
2003/3/11,晴,8,1
2003/3/12,晴,8,1
2003/3/13,曇時々晴,8,1
2003/3/14,曇後一時晴,8,1
2003/3/15,晴後曇,8,1
2003/3/16,曇時々晴,8,1
2003/3/17,曇時々晴,8,1
2003/3/18,曇時々雨,8,1
2003/3/19,曇,8,1
2003/3/20,曇一時雨,8,1
2003/3/21,雨時々曇,8,1
2003/3/22,曇時々晴,8,1
2003/3/23,曇一時晴,8,1
2003/3/24,曇後雨,8,1
2003/3/25,曇時々晴,8,1
2003/3/26,晴一時薄曇,8,1
2003/3/27,晴,8,1
2003/3/28,曇時々雨一時晴,8,1
2003/3/29,晴,8,1
2003/3/30,晴,8,1
2003/3/31,曇時々晴一時雨,8,1
2003/4/1,曇一時雨,8,1
2003/4/2,曇一時霧,8,1
2003/4/3,曇時々晴,8,1
2003/4/4,曇時々雨,8,1
2003/4/5,晴時々曇,8,1
2003/4/6,晴一時曇,8,1
2003/4/7,曇一時晴,8,1
2003/4/8,曇時々雨,8,1
2003/4/9,晴時々曇,8,1
2003/4/10,曇時々晴,8,1
2003/4/11,曇一時雨,8,1
2003/4/12,雨時々曇、雷を伴う,8,1
2003/4/13,曇時々晴,8,1
2003/4/14,曇時々雨,8,1
2003/4/15,曇一時雨,8,1
2003/4/16,晴時々曇,8,1
2003/4/17,曇後晴,8,1
2003/4/18,晴,8,1
2003/4/19,曇時々晴,8,1
2003/4/20,曇時々晴,8,1
2003/4/21,薄曇一時晴,8,1
2003/4/22,雨時々曇,8,1
2003/4/23,曇時々晴,8,1
2003/4/24,曇一時晴,8,1
2003/4/25,曇一時雨,8,1
2003/4/26,曇,8,1
2003/4/27,晴,8,1
2003/4/28,晴,8,1
2003/4/29,晴一時曇,8,1
2003/4/30,曇時々晴,8,1
2003/5/1,曇時々晴,8,1
2003/5/2,曇一時晴,8,1
2003/5/3,曇,8,1
2003/5/4,曇一時雨,8,1
2003/5/5,曇一時雨,8,1
2003/5/6,曇一時雨,8,1
2003/5/7,晴一時曇,8,1
2003/5/8,曇後時々雨,8,1
2003/5/9,晴一時曇,8,1
2003/5/10,晴時々曇,8,1
2003/5/11,晴一時薄曇,8,1
2003/5/12,晴,8,1
2003/5/13,曇一時晴,8,1
2003/5/14,曇一時雨,8,1
2003/5/15,大雨時々曇、雷を伴う,8,1
2003/5/16,曇一時雨,8,1
2003/5/17,曇時々雨,8,1
2003/5/18,曇時々雨,8,1
2003/5/19,曇一時晴,8,1
2003/5/20,曇後晴,8,1
2003/5/21,晴一時曇,8,1
2003/5/22,晴一時曇,8,1
2003/5/23,雨時々曇,8,1
2003/5/24,雨一時曇,8,1
2003/5/25,雨時々曇,8,1
2003/5/26,晴,8,1
2003/5/27,晴一時曇,8,1
2003/5/28,曇時々雨一時晴,8,1
2003/5/29,曇後時々雨,8,1
2003/5/30,曇時々晴一時雨,8,1
2003/5/31,曇時々晴一時雨,8,1
2003/6/1,晴時々曇,8,1
2003/6/2,晴時々曇一時雨,8,1
2003/6/3,雨後時々曇,8,1
2003/6/4,晴,8,1
2003/6/5,晴後薄曇,8,1
2003/6/6,薄曇一時晴,8,1
2003/6/7,雨時々曇,8,1
2003/6/8,大雨後時々曇,8,1
2003/6/9,曇時々晴一時雨,8,1
2003/6/10,曇一時晴,8,1
2003/6/11,曇時々晴,8,1
2003/6/12,曇時々晴,8,1
2003/6/13,曇,8,1
2003/6/14,晴後薄曇,8,1
2003/6/15,晴時々曇,8,1
2003/6/16,曇一時雨,8,1
2003/6/17,曇時々雨,8,1
2003/6/18,曇後一時雨,8,1
2003/6/19,曇時々雨,8,1
2003/6/20,薄曇時々晴,8,1
2003/6/21,晴時々曇,8,1
2003/6/22,晴時々曇,8,1
2003/6/23,曇時々晴,8,1
2003/6/24,晴時々薄曇,8,1
2003/6/25,曇,8,1
2003/6/26,曇,8,1
2003/6/27,晴,8,1
2003/6/28,晴,8,1
2003/6/29,晴,8,1
2003/6/30,晴,8,1
2003/7/1,晴,8,1
2003/7/2,曇時々晴,8,1
2003/7/3,晴後時々薄曇,8,1
2003/7/4,晴一時薄曇,8,1
2003/7/5,晴,8,1
2003/7/6,晴,8,1
2003/7/7,晴,8,1
2003/7/8,晴一時雨,8,1
2003/7/9,晴一時雨,8,1
2003/7/10,晴,8,1
2003/7/11,晴後一時薄曇,8,1
2003/7/12,晴一時薄曇,8,1
2003/7/13,曇一時雨,8,1
2003/7/14,曇時々晴,8,1
2003/7/15,晴後薄曇,8,1
2003/7/16,薄曇時々晴,8,1
2003/7/17,曇後晴,8,1
2003/7/18,晴一時曇,8,1
2003/7/19,晴,8,1
2003/7/20,晴時々薄曇,8,1
2003/7/21,晴時々曇,8,1
2003/7/22,晴一時曇,8,1
2003/7/23,晴,8,1
2003/7/24,晴一時雨,8,1
2003/7/25,晴,8,1
2003/7/26,晴後曇時々雨、雷を伴う,8,1
2003/7/27,曇一時晴,8,1
2003/7/28,薄曇一時晴,8,1
2003/7/29,薄曇時々晴,8,1
2003/7/30,曇時々晴,8,1
2003/7/31,晴時々曇,8,1
2003/8/1,曇,8,1
2003/8/2,晴,8,1
2003/8/3,晴一時雨,8,1
2003/8/4,晴後曇時々雨,8,1
2003/8/5,晴一時雨,8,1
2003/8/6,曇時々雨,8,1
2003/8/7,暴風雨,8,1
2003/8/8,曇一時雨,8,1
2003/8/9,晴時々曇,8,1
2003/8/10,晴,8,1
2003/8/11,晴時々曇,8,1
2003/8/12,晴後曇,8,1
2003/8/13,曇時々晴,8,1
2003/8/14,薄曇一時雨,8,1
2003/8/15,曇時々晴,8,1
2003/8/16,晴後曇時々雨,8,1
2003/8/17,晴一時雨,8,1
2003/8/18,晴,8,1
2003/8/19,晴時々雨一時曇,8,1
2003/8/20,晴時々曇,8,1
2003/8/21,晴,8,1
2003/8/22,晴後一時曇,8,1
2003/8/23,晴一時曇,8,1
2003/8/24,大雨時々曇一時晴,8,1
2003/8/25,薄曇一時雨,8,1
2003/8/26,晴,8,1
2003/8/27,晴,8,1
2003/8/28,晴,8,1
2003/8/29,晴後曇,8,1
2003/8/30,晴時々曇,8,1
2003/8/31,曇時々晴,8,1
2003/9/1,晴時々曇一時雨,8,1
2003/9/2,晴時々曇一時雨,8,1
2003/9/3,晴一時雨,8,1
2003/9/4,晴,8,1
2003/9/5,晴,8,1
2003/9/6,薄曇時々晴,8,1
2003/9/7,晴一時雨、雷を伴う,8,1
2003/9/8,曇時々晴一時雨,8,1
2003/9/9,晴時々曇一時雨,8,1
2003/9/10,曇時々雨,8,1
2003/9/11,曇時々雨、大風を伴う,8,1
2003/9/12,曇一時雨,8,1
2003/9/13,晴時々曇,8,1
2003/9/14,晴,8,1
2003/9/15,晴時々薄曇,8,1
2003/9/16,晴,8,1
2003/9/17,晴,8,1
2003/9/18,曇時々雨,8,1
2003/9/19,暴風雨,8,1
2003/9/20,曇時々雨,8,1
2003/9/21,晴時々曇,8,1
2003/9/22,晴,8,1
2003/9/23,曇時々晴一時雨,8,1
